plan,id,phase,owner_record,mapping_status
REL,PAY-001,P05,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-08,P05,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-09,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-10,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-11,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-12,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-13,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-14,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-15,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-16,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-17,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-18,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-19,P01,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
REL_DOD,DOD-20,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-001,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-002,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-003,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-004,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-005,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-006,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-007,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-008,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-009,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-010,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-011,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-012,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-013,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-014,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-015,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-016,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-017,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-018,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-019,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-020,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-021,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-022,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-023,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-024,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-025,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-026,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-027,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-028,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-029,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-030,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-031,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-032,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-033,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-034,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-035,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-036,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-037,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-038,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-039,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-040,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-041,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-042,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-043,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-044,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-045,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-046,P03,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-047,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-048,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-049,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-050,P02,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-051,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-052,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-053,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-054,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-055,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-056,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-057,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-058,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-059,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-060,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-061,P07,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-062,P07,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-063,P07,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-064,P07,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-065,P07,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-066,P07,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-067,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-068,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-069,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-070,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-071,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-072,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-073,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-074,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-075,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-076,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-077,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-078,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-079,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-080,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-081,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-082,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-083,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-084,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-085,P11,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-086,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-087,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-088,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-089,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS,OBS-090,P08,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS_DOD,DOD-01,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS_DOD,DOD-02,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS_DOD,DOD-03,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
OBS_DOD,DOD-04,P04,../2026-08-21--release-1.2.0-megaplan/EXECUTION-LEDGER.csv,RETAINED_ORIGINAL_ROW; R12_MAPPING_JUST_IN_TIME
