"plan","id","phase","summary","status","index","evidence","next_action"
"REL","CORE-001","P02","Expand core CI to platform artifacts, ABI, race, security and reproducibility","FINAL_SOURCE_ARTIFACT_AND_HOSTED_MATRIX_PROVED","I3","WO-004B2/013I/013P; final Core main bdbd97fae35103e705f55908caebf75b4a9ff72f is the source for locally byte-identical Android tree 565266016cf823b30a36645c37156a8ba69d3f0fd55f8b22df665c321bcfcc90 and Windows tree 32089d0e133703433f43e4e8041f45fdf931e937bfb9ca10f2a72725a5c24d9f embedded by final client main; DLL exports 15/15 and proxy-only cycles 100/100 pass; Core main run 32651975372 passes test, release-contract, Android/Windows reproducibility and Apple source build; hosted Linux Android bytes are not mislabeled as identical to the Windows-produced embedded AAR","Retain candidate signing, device/origin, license disposition, SBOM/provenance and same-byte public promotion before I4"
"REL","TEST-001","P01","Make client standard test entrypoint cross-platform and contract-complete","HOSTED_FINAL_SOURCE_STANDARD_GATE_PROVED","I3","WO-013N/013P; final client PR head 4864e439126263296a68ea8c1ba213f25c57a5fb passes Actions run 32655837199/job 97234316532 against final platform/Core promotion lines; signed client main 3904734ce7761cc92c4136f1eaf13e20f2354f72 preserves the exact checked tree and push run 32656692926/job 97236406043 repeats cross-repository contract, full standard client gate and both Android flavors successfully; prior runner disk failure remains INFRA_FAILURE, not PASS","Bind and repeat the exact signed candidate/device/origin gates before I4; hosted source proof is not physical-device, signing, store or stable-promotion proof"
"REL","AND-001","P03","Remove private route/speed details from Android lockscreen notification","LOCALLY_PROVED","I3","WO-005 005D1; private generic foreground/public lockscreen content; legacy detail preferences forced false; Android JVM 147/147, app-shell 230/230, analyze and docs contract PASS","Retain OEM/lockscreen and exact signed-candidate device evidence"
"REL","AND-002","P03","Replace UID-wide Android speed with core/TUN counters","LOCALLY_PROVED","I3","WO-005 005D2; Core CommandStatus TUN totals, monotonic per-session rates and explicit unavailable/warming/reset/overflow states; Android JVM 155/155, runtime-engine 52/52 plus one external-artifact skip, app-shell 325/325 and analyze PASS","Retain long-run counter sampling, process-restart and exact-candidate physical-device proof for I4"
"REL","UPD-001","P03","Validate Android package id and signing certificate before install flow","LOCALLY_PROVED","I3","POKROV-app direct/store flavor source; sanitized APK identity fixtures; direct/store JVM 161/161; debug APK manifest/bytecode inspection","Run exact production-signed same-lineage upgrade and negative device matrix for I4"
"REL","DEP-001","P01","Pin reproducible backend and frontend dependencies","CANDIDATE33_SIGNED_REPRODUCIBLE_SUPPLY","I4","WO-013GT freezes platform f530005, client 6ab1bca and Core cd8f0f4, binding six freshly built artifacts to strict-v2 handoff 30d9d044, CycloneDX SBOM 3b586c6e, provenance 9aadcb1d, strict validation c1259e7a and trusted manifest/signature/receipt 5620c2f0/5115ab3c/f84843c8.","Retain candidate.33 public same-byte artifact digests and post-promotion provenance before I5; do not rewrite candidate.32 history"
"REL","API-001","P05","Define non-blocking DB strategy for async API surface","LOCALLY_PROVED_PAYMENT_ROUTES","I3","WO-007 007E closure; complete payment DB use cases own sync sessions in bounded Starlette/AnyIO worker threads; no ORM crosses await; fixed integer health; exact payment matrix 139 passed plus 12 subtests","Non-payment async ORM inventory and exact deployed DB/threadpool capacity/latency/fault evidence remain open before broader claim or I4"
"REL","HTTP-001","P05","Use shared bounded HTTP clients with timeouts and telemetry","LOCALLY_PROVED_PAYMENT_SURFACE","I3","WO-007 007D closure; FastAPI lifespan owns bounded reusable provider-policy sessions for Lava.top/Cardlink/Pally/Platima/FreeKassa; safe aggregate telemetry only; exact payment matrix 135 passed plus 12 subtests","Broader non-provider client inventory remains explicit; retain deployed exact-candidate provider pool/timeout/latency evidence before I4"
"REL","ARCH-001","P08","Decompose client bootstrap by state ownership","LOCALLY_PROVED","I3","WO-010B1..B5; Home uses one bounded state/intent pair and ConnectionCoordinator FirstSessionCoordinator AccountSessionCoordinator and DiagnosticsCoordinator own the four named mutable seams; architecture guard docs focused tests and full seed gate pass","Retain exact-candidate client evidence before I4; do not widen into a shell rewrite"
"REL","ARCH-002","P05","Split portal composition roots through bounded contexts","LOCALLY_PROVED_PORTAL_DECOMPOSITION","I3","WO-007 007F-007I; payment/public/client/admin route owners plus explicit single-policy Action Intent domain/runtime boundary; affected local matrices, source contracts and 300 unique method/path pairs PASS","Retain exact-candidate, deployed PostgreSQL/load/rollback and production operator-action evidence before I4; no second backend or big-bang split"
"REL","ARCH-003","P08","Separate large client screens from orchestration and data access","LOCALLY_PROVED","I3","WO-010B6/010J; Protection Center and the release-critical update flow have focused mutable/presentation owners with host data access and side effects injected; client analyze, 379/379 app-shell, boundary and cross-repo seed gates PASS","Retain exact-candidate Android/Windows installer, accessibility and public release-index evidence before I4"
"REL","LNX-001","P03","Build conditional Linux daemon and non-root UI beta lane","CURRENT_MAIN_NATIVE_PROVED_SOURCE_ONLY_CONDITIONAL","I3","WO-005G/WO-013AP/WO-013CS; client PR 28 head 646e944 resolves on current main and merges as 30ccf4f. Full client/seed/docs gates, Linux Flutter 4/4, runtime engine 70 plus one expected host skip and native Ubuntu 22.04 x86_64 gofmt/test/vet/build pass. Hosted zero-step run is SKIPPED_BY_OWNER. The source retains non-root UI, typed Unix-socket daemon, kernel peer credentials, polkit mutation boundary, bounded profile store, secret-free journal and exact Ubuntu 24.04 amd64 foundation row; candidate.10 is unchanged and contains no Linux","Implement live Core/TUN plus NetworkManager/resolved/nft rollback, suspend recovery, signed DEB and exact clean Ubuntu 24.04 desktop VM matrix before I4; Fedora/RPM remains backlog"
"REL","AND-003","P03","Replace MTU 9000 fallback with safe default and measured adaptation","LOCALLY_PROVED","I3","WO-005 005D1; managed/native integer MTU 1280..1500, default 1280, usable platform-interface ceiling; malformed/boundary JVM and Dart tests; Android JVM 147/147","Retain physical-network/PMTU, large-transfer, QUIC and exact-candidate evidence"
"REL","AND-004","P03","Replace raw Android bridge threads with structured lifecycle concurrency","LOCALLY_PROVED_EXACT_CANDIDATE6_LDPLAYER_FORCE_STOP","I3","WO-005 005D2 plus WO-013BP; generation-fenced lifecycle source tests remain. Exact signed candidate.6 LDPlayer service and TUN are observed before process force-stop; both are absent at one and five seconds, and relaunch is not protected with no service/TUN, proving bounded cleanup without false-green","Repeat process-kill/restart, network-switch endurance and cleanup on the physical exact candidate before I4"
"REL","AND-005","P03","Limit REQUEST_INSTALL_PACKAGES to direct Android flavor","LOCALLY_PROVED","I3","POKROV-app direct/store manifests and code; merged debug manifests; direct/store JVM 161/161","Repeat merged-manifest and install-path checks on exact release artifacts for I4"
"REL","WIN-004","P03","Create idempotent Windows shutdown and route/DNS rollback coordinator","CANDIDATE32_DISCONNECTED_FORCED_SERVICE_RECOVERY_PASS_CONNECTED_RECOVERY_OPEN","I3","WO-013GK proves exact candidate.32 in-place installation, ordinary IPC and managed reboot. WO-013GL then forcibly terminates the disconnected service process and observes automatic SCM recovery in 5,252 ms with 11/11 identity, clean journal and unchanged route/DNS contour; no manual restart is used. IPC contention, connected reboot/rollback and connected uninstall remain open.","Run successor candidate IPC contention plus connected default/AWG/Smart-DNS service termination, reboot/rollback and connected uninstall before advancing"
"REL","WIN-005","P03","Start Windows tray/UI without UAC or premature autoconnect","CANDIDATE32_CLEAN_AND_INPLACE_ORDINARY_UI_NO_PREMATURE_AUTOCONNECT_PASS_LOGIN_AUTOSTART_TIMING_OPEN","I3","WO-013GK proves ordinary UI/trusted IPC on the in-place state. WO-013GN repeats it after exact clean install: service runs before login, ordinary same-owner/session UI opens a main window without UAC, initialize remains disconnected and the network is unchanged. The launchAtLogin preference was not enabled, so its timing path is not claimed.","Enable launchAtLogin through the product preference and retain exact successor candidate login-startup/service-readiness timing; then repeat with delayed network availability before I4"
"REL","DOC-001","P01","Separate active readiness truth from immutable historical evidence","LOCALLY_PROVED","I3","WO-003G; eight current client readiness owners are registry-separated from six immutable EVIDENCE snapshots; platform beta and 2026-08-13 trackers are evidence-only; executable docs/seed/context gates PASS","Retain clean exact-candidate hosted/deployed readback before I4; historical evidence never authorizes new bytes"
"REL","REPO-001","P01","Remove tracked temporary files and separate source from signed release index","CANDIDATE33_SIGNED_INDEX_RECEIPT_PUBLIC_ASSETS_OPEN","I3","WO-013GT binds exact candidate.33 sources and six private artifacts to strict-v2 handoff 30d9d044, candidate-bound SBOM/provenance and trusted manifest/signature/receipt 5620c2f0/5115ab3c/f84843c8 from release-index source 63993fb. Promotion is false; OWNER_SOLO_EXCEPTION remains explicit, and no public asset, tag, Store object or stable pointer exists.","Retain six same-byte candidate.33 public asset digests, immutable public index readback and guarded rollback evidence before I4"
"REL","STATE-001","P02","Make green connection state require DNS and egress proof","LOCALLY_PROVED","I3","WO-004A; RuntimeSnapshot.isCleanlyHealthy; connection_experience_test 9 passed; client repository gate PASS","Retain native and exact-candidate proof in Phase 11"
"REL","OBS-001","P04","Unify correlation IDs, error taxonomy and redacted support evidence","LOCALLY_PROVED","I3","WO-006A through 006F; canonical correlation/error contracts; bounded runtime evidence; deterministic redacted encrypted-bundle boundary and exact preview; client/platform gates PASS","Retain local boundary while implementing case upload retention and exact-candidate I4 proof"
"REL","ABI-001","P02","Publish machine-readable app/core ABI contract and compatibility tests","LOCALLY_PROVED","I3","WO-004B/013I; Core config/abi-contract.json and additive event ABI are bound to exact Core source; the rebuilt 1.1.0 Windows DLL passes all 15 required exports and client descriptor/event/fail-closed tests; client runtime gate passes","Retain signed exact-candidate DLL descriptor/callback compatibility and installed-host proof in Phase 11"
"REL","UX-001","P02","Expose typed connecting, verifying, degraded, recovering and failed states","LOCALLY_PROVED","I3","WO-004A; sealed ConnectionExperienceState and ConnectionPresentation; app-shell 319 passed","Retain native and exact-candidate proof in Phase 11"
"REL","UX-002","P08","Keep runtime internals behind progressive diagnostic disclosure","LOCALLY_PROVED","I3","WO-010B6; Protection Center is summary-first and keeps tunnel/DNS/egress/routes live stats history and support diagnostics behind explicit detail/support disclosure; safe-copy and raw-diagnostic widget tests plus full app-shell regression pass","Retain exact-candidate accessibility/device evidence before I4"
"REL","PERF-001","P08","Version cold-start, connect, idle resource and API latency budgets","CANDIDATE32_SOURCE_BUDGETS_PASS_EXACT_DEVICE_ORIGIN_BASELINES_OPEN","I3","WO-013GA passes the candidate.32-bound source quality aggregate 15/15 with cabinet 69/69 and static budgets 9/9. WO-013GF binds those sources but performs no exact current/Brain origin or device performance measurement. Candidate.31 origin numbers remain predecessor history.","Capture successor candidate tunnel-free current origin plus comparable physical Android, Windows and browser cold-start/connect/frame/idle/battery/thermal baselines"
"REL","SEC-001","P03","Authenticate Windows IPC sender and typed protocol","CANDIDATE32_CLEAN_OWNER_MEDIUM_IPC_PASS_NONOWNER_ADMIN_MATRIX_OPEN","I3","WO-013GK proves ordinary owner status/initialize IPC after in-place replacement. WO-013GN repeats exact-source status/initialize and UI-attached status from the clean-installed owner account: SCM-bound IPC is available, trusted, compatible and accepted; the diagnostic is removed. Non-owner and elevated-admin denial/acceptance cases remain absent.","Retain actual SCM non-owner and elevated-admin IPC matrix for exact successor candidate before I4"
"REL","MIG-001","P02","Version and rollback-test saved session/config/update state migrations","LOCALLY_PROVED","I3","WO-004C; canonical persisted-state inventory; sanitized v0 fixtures; focused 90 pass; app shell 326 and Android JVM 146 pass","Retain physical-device upgrade/downgrade and exact-candidate rollback proof in Phase 11"
"REL_GATE","GATE-A","P01","Release-line security: branches, CI, payment fallback, manifest, clean-host proof, signing","CANDIDATE33_WIN_001_PASS_AGGREGATE_NOT_RUN","I1","WO-013GT binds valid candidate.33 signed supply and exact WIN-001 PASS. The full candidate.33 Gate A and mandatory STOP-SHIP aggregate has not yet been replayed; three hosted jobs are zero-step access-blocked, and physical Android, trusted Windows signing plus final live aggregate remain non-PASS.","Replay candidate.33 source-owned STOP-SHIP and Gate A, retain the hosted-access blocker honestly and complete remaining live/manual boundaries before any aggregate PASS"
"REL_GATE","GATE-B","P02","State control: typed state, shutdown/recovery, diagnostics and false-green tests","CANDIDATE32_EXACT_SOURCE_STATE_PASS_MANAGED_RUNTIME_PHYSICAL_OPEN","I3","WO-013GG passes exact candidate.32 platform state/diagnostics 70/70, focused client 111/111 and full widgets 413/413 with zero source failures. Non-elevated installer fail-closed remains supplemental; connected Windows recovery and physical-device false-green boundaries stay open.","Run successor candidate elevated managed Windows state/recovery and physical Android external leak/device slices before I4"
"REL_GATE","GATE-C","P03","Platform implementations: Windows, Android, conditional Linux and core matrix","CANDIDATE32_EXACT_SOURCE_AND_SIGNED_PACKAGES_PASS_PLATFORM_RUNTIME_OPEN","I3","WO-013GG binds exact source quality 15/15 and signed packages to candidate.32; WO-013GF retains VM identity and non-elevated fail-closed. Elevated Windows lifecycle, Windows 10/SmartScreen/sleep/IPv6, physical Android, Store delivery and conditional Linux packaging remain open.","Run exact successor candidate elevated Windows install/upgrade and managed lifecycle, then physical Android AWG/Smart-DNS/device matrices"
"REL_GATE","GATE-D","P05","Server decomposition: payments, HTTP, DB, outbox and bounded routers/services","CANDIDATE32_EXACT_SOURCE_PAYMENT_OUTBOX_POLICY_PASS_PROVIDER_RUNTIME_OPEN","I3","WO-013GG passes exact platform payment/provider/callback/HTTP/DB/outbox/module tests 196/196 plus 12 subtests and Action Intent/policy 25/25. No provider order, production PostgreSQL/outbox delivery/reconciliation/reversal or real Operator rollback ran.","Run a minimal authorized successor candidate provider E2E and redacted deployed PostgreSQL/outbox/reconciliation/runtime-rollback matrix before I4"
"REL_GATE","GATE-E","P08","Truth-first UX, diagnostics, accessibility and performance budgets","CANDIDATE32_EXACT_LOCAL_QUALITY_PASS_DEVICE_ORIGIN_GATES_OPEN","I3","WO-013GG passes exact candidate.32 local quality 15/15, client 413/413, cabinet 69/69, Admin v2 SDK 75/75, static performance 9/9 and dependency audits 0/0/0. Authenticated journeys, physical accessibility/OEM/scaling, comparable performance, support and named origins remain non-PASS.","Run successor candidate origins, authenticated journeys and physical Android/Windows accessibility, comparable performance, support and RU-origin gates"
"REL_GATE","GATE-F","P11","Exact RC migrations, chaos/security, signed artifacts, rollback and manifest-derived docs","CANDIDATE33_GATE_F_BLOCKED_2_17_0","I3","WO-013GT validates candidate.33 signed identity, exact four-source tuple and all 19 evidence pointers with zero validation errors. Signed supply and release docs pass; exact decision is BLOCKED 2 PASS / 17 non-PASS / 0 FAIL. Exact WIN-001 passes separately, but the full Gates A-E and mandatory STOP-SHIP aggregates are NOT_RUN.","Close candidate.33 exact Gates A-E, devices, network, origins, rollback, approvals, performance and final rows; regenerate Gate F and prohibit Gate G until exact GO"
"REL_DOD","DOD-01","P11","All STOP-SHIP defects have permanent regression tests","CANDIDATE32_SIGNED_SUPPLY_AND_LOCAL_REGRESSIONS_PASS_LIVE_AGGREGATE_OPEN","I3","WO-013GA/013GF bind candidate.32 to the complete local quality and signed supply contours. Exact Windows non-elevated fail-closed passes; elevated/managed Windows, physical Android and final live no-open-P0/false-green/privacy attestation remain open.","Retain successor candidate exact installed-device matrices and final live aggregate attestation before I4; accepted solo branch policy is not technical PASS"
"REL_DOD","DOD-02","P01","All components bind to a signed release manifest","CANDIDATE32_SIGNED_SUPPLY_ANDROID_STATIC_PASS_RUNTIME_PUBLIC_OPEN","I2","WO-013GF binds candidate.32 platform/client/Core/release-index sources and six exact artifacts to strict-v2 handoff df85e2ee, SBOM 5ddf2a96, provenance 4785cd00 and trusted release-index manifest/signature/receipt b15938e1/e63d8ee3/7bfaf81f; promotion_authorized=false. WO-013GH independently validates all four APK signatures, alignment, package/version/ABI identity and the AAB bundle/certificate against those signed bytes. Windows managed runtime, installed Android identity/runtime and public same-byte readback remain absent.","Prove successor candidate installed Android and managed Windows runtime, then retain six same-byte public asset digests before I3/I4"
"REL_DOD","DOD-03","P02","App/core/portal compatibility is automatically checked","CANDIDATE32_EXACT_SOURCE_AND_SIGNED_CONTRACTS_PASS","I3","WO-013GF binds exact candidate.32 platform/client/Core/release-index revisions, strict-v2 handoff, candidate-specific SBOM/provenance and trusted signature. WO-013GA/013GC/013GD retain the exact bound-source local build and contract passes.","Retain the same exact-candidate contract after public promotion before I4/I5; source checks do not replace physical runtime"
"REL_DOD","DOD-04","P11","Windows TUN, DNS and rollback pass clean-host matrix","CANDIDATE32_CLEAN_INSTALL_BOOT_UI_IPC_AND_DISCONNECTED_RECOVERY_PASS_CONNECTED_MATRIX_OPEN","I4","WO-013GK proves in-place/reboot, WO-013GL disconnected forced-service recovery, WO-013GM exact clean install, and WO-013GN clean-snapshot boot-before-login plus ordinary UI/IPC/initialize with unchanged disconnected network. Connected TUN/DNS/egress, rollback, sleep and uninstall remain open.","Run successor candidate managed default/AWG/Smart-DNS connected recovery/uninstall, Windows 10, sleep, IPv6/leak and clean restoration"
"REL_DOD","DOD-05","P03","Android direct/store builds have distinct permissions and update paths","CANDIDATE32_SIGNED_DIRECT_STORE_STATIC_SEPARATION_PASS_RUNTIME_UPDATE_MATRIX_OPEN","I3","WO-013GF binds five production-signed candidate.32 Android outputs with one certificate lineage. WO-013GH independently validates all four APKs and the AAB, then proves the signed direct APK alone contains REQUEST_INSTALL_PACKAGES plus a non-exported URI-grant update FileProvider while the Store AAB contains none of that direct-update surface; focused direct/store source contracts pass 10/10. Installed Android runtime, Play-managed update and physical direct-installer permission/retained-settings upgrade remain open.","Retain exact successor candidate installed-byte identity and launch, Play-managed update and physical direct-installer permission/retained-settings upgrade evidence before I4"
"REL_DOD","DOD-06","P03","Linux beta has daemon, non-root UI, signed package and basic matrix","IMPLEMENTED_PARTIAL_AUTH_TRACE_SOURCE_RUNTIME_OPEN","I2","WO-005G/013DJ/013EF; daemon, non-root UI, typed authenticated IPC, polkit policy, systemd units and native journald delivery/fallback exist. Client main eceb130 adds one closed peer-credential/polkit-D-Bus authorization event per mutation plus bounded read/auth/write deadlines; PR run 33544192198 passes the real Ubuntu Linux daemon step. Live connect remains fail-closed; no signed package or clean desktop-session proof exists. Candidate.20 excludes Linux","Keep Linux outside 1.2.0; complete Core/TUN plus NetworkManager/resolved/nft lifecycle, signed DEB and clean Ubuntu desktop matrix including allow/deny/dismiss/no-agent/timeout journald readback only in its separate beta lane"
"REL_DOD","DOD-07","P02","Green state requires DNS and egress proof","LOCALLY_PROVED_CANDIDATE16_DEFAULT_PASS_LAB_FALSE_GREEN_BLOCKED","I3","WO-013B source contract requires DNS, host/uplink and egress proof before green. WO-013DE observes exact default success. WO-013DF observes both AWG labs reach tunnel/DNS/routes but fail egress; the UI stays non-green and removes the VPN, proving fail-closed behavior","Resolve lab egress and repeat forced DNS/egress failure/recovery on exact Android and Windows before I4"
"REL_DOD","DOD-08","P05","Payment fulfillment is idempotent and uses immutable local order","CANDIDATE32_SOURCE_BOUND_PROVIDER_RUNTIME_OPEN","I3","WO-013GF binds candidate.32 platform source and exact local release contracts. Earlier payment/provider/callback/HTTP/DB/outbox suites remain source evidence; no real provider or production worker ran for candidate.32.","Retain successor candidate production provider/callback/worker/reconciliation evidence before I4"
"REL_DOD","DOD-09","P01","Branch protection and required checks are active","OWNER_SOLO_EFFECTIVE_PROMOTION_CONTROLS_PROVED","I3","WO-013O/013P authenticated read-only GitHub API: Core main retains five strict app-bound checks, signatures, admins, linear history, conversation resolution and force/deletion bans; paid private platform/client protection remains BLOCKED_BY_ACCESS, while the authorized owner-solo compensation binds exact PR heads and successful GitHub App checks 2/2, 1/1 and 5/5 before PR-only signed merges; complete live readback passes owner-solo controls 3/3 without claiming independent review","Repeat exact candidate and stable-promotion controls for the immutable candidate; no source-only control proves signing, device, origin or production readiness"
"REL_DOD","DOD-10","P02","Core passes platform builds, ABI and security checks","CANDIDATE_SOURCE_PLATFORM_ABI_SECURITY_PROVED_CI_CONTROL_RECONCILED","I3","WO-006C/013I/013P/013AA; signed candidate Core 344b317a7a09eca7943a93866b193553538bd8f6 run 32944235783 retains SUCCESS for test/vet/race/reachable govulncheck/staticcheck/fuzz/SBOM, byte-identical Android and Windows builds, four Android ABIs, 15 DLL exports, 100-cycle backtest and Apple source build; its aggregate remains red because the old release-contract checkout omitted client Git LFS; product-identical workflow-only fix 9b94e0bda7e454536e8fa9b4519f2281211798e0 passes all five PR and post-merge jobs including bound-source materialization","Retain physical Android/Windows exact-candidate runtime, origin and public same-byte promotion evidence before I4; never relabel red run 32944235783 as aggregate PASS"
"REL_DOD","DOD-11","P02","State migrations 1.1.x to 1.2.0 and rollback are tested","CANDIDATE32_PUBLIC116_PACKAGE_AND_ORDINARY_RUNTIME_MIGRATION_PASS_SAVED_STATE_ANDROID_AND_ROLLBACK_OPEN","I3","WO-013GO proves exact public 1.1.6+29 ordinary per-user package to candidate.32 1.2.0+4053 machine/service migration and legacy cleanup. WO-013GP then proves ordinary migrated-state UI/trusted IPC and disconnected initialization. The public app was not used to create account/profile state, so saved-state compatibility, Android upgrade/downgrade and guarded runtime rollback remain open.","Run saved-state fixtures, production-signed physical Android upgrade/downgrade and guarded runtime rollback before I4"
"REL_DOD","DOD-12","P04","Support bundle is redacted and reproducible","CANDIDATE21_STATIC_PRIVACY_HISTORY_CANDIDATE32_PHYSICAL_UPLOAD_OPEN","I3","WO-006F establishes deterministic canonical manifest/hashes and encryption-only output. WO-013EQ/013EP retain candidate.21 source, bundle and bounded six-artifact static-privacy proof as predecessor history. WO-013GG passes candidate.32 exact-source observability/support contracts within its 70/70 platform slice, but no candidate.32 physical bundle, artifact privacy replay, production encryption/upload/ingest or live no-plaintext result exists.","Retain exact physical successor candidate bundle generation plus candidate-bound privacy replay, production key, encrypted upload/ingest and live no-plaintext evidence before I4"
"REL_DOD","DOD-13","P08","Performance baselines exist without stop regressions","CANDIDATE32_SOURCE_PERFORMANCE_BUDGETS_PASS_DEVICE_BASELINES_OPEN","I1","WO-013GA passes candidate.32-bound source performance budgets 9/9. WO-013GF performs exact VM identity/non-elevated validation only. Candidate.32 cold-start/connect/frame, physical Android, Windows, battery/thermal, comparable hardware/browser and post-promotion baselines remain absent.","Capture comparable successor candidate physical Android/Windows cold-start/connect/frame/idle, battery/thermal and browser-lab baselines"
"REL_DOD","DOD-14","P08","Accessibility smoke suite passes","CANDIDATE32_AUTOMATED_COVERAGE_PASS_MANUAL_DEVICE_OPEN","I3","WO-013GA binds the passing client/cabinet automated contours to candidate.32 source and WO-013GF signs that source. No candidate.32 physical assistive-technology run occurred.","Run TalkBack, Narrator, OS zoom/scaling and successor candidate manual accessibility matrix before I4"
"REL_DOD","DOD-15","P11","Stable artifacts are signed, have SBOM/provenance and are not rebuilt on promotion","CANDIDATE32_SIGNED_SUPPLY_ANDROID_STATIC_PASS_PUBLIC_PROMOTION_OPEN","I2","WO-013GF binds exact candidate.32 bytes to strict-v2 handoff df85e2ee, SBOM 5ddf2a96, provenance 4785cd00 and trusted release-index manifest/signature/receipt b15938e1/e63d8ee3/7bfaf81f with rebuild=false and promotion_authorized=false. WO-013GH independently revalidates all five Android size/SHA/signer bindings, four APKs and the AAB bundle structure. Trusted Windows signing, installed Android/runtime, named-origin/manual/runtime rollback gates, six public assets and same-byte promotion remain absent.","Close successor candidate device/Windows/origin/runtime gates and retain same-byte public asset/promotion proof before I3/I4/I5; provision trusted signing before any trusted, Store or broad-stable Windows claim"
