canonical_id,method,path,family,story_status,test_ref_count,consumer_ref_count,test_refs,consumer_refs,next_action
BACKEND-API-016,POST,/api/client/session/start-trial,App-first trial/session,Retest passed,8,2,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; portal_bot\tests\test_app_first_api.py; portal_bot\tests\test_email_auth.py; tests\test_api_lifecycle_smoke.py; tests\test_api_p0_extensions.py; tests\test_client_ui_api_additions.py; tests\test_network_rollout_api.py; tests\test_smart_connect_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart; scripts\app_bot_parity_smoke.py,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-017,GET,/api/client/route-policy,Client route policy,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; portal_bot\tests\test_app_first_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-018,POST,/api/client/route-policy,Client route policy,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; portal_bot\tests\test_app_first_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-019,GET,/api/client/locations,Client locations/catalog,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_client_ui_api_additions.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-020,GET,/api/client/subscription,Client subscription visibility,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_client_ui_api_additions.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-021,GET,/api/client/devices,Client device management,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_client_ui_api_additions.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-022,DELETE,/api/client/devices/{device_id},Client device management,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_client_ui_api_additions.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-023,GET,/api/client/notifications,Client notifications and push,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_client_ui_api_additions.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-024,POST,/api/client/notifications/read,Client notifications and push,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_client_ui_api_additions.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-025,POST,/api/client/push/register,Client notifications and push,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_client_ui_api_additions.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-026,POST,/api/client/support/assistant,Client support assistant,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_client_ui_api_additions.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-027,GET,/api/client/profile/managed,Managed profile delivery,Retest passed,4,2,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; portal_bot\tests\test_app_first_api.py; tests\test_network_rollout_api.py; tests\test_smart_connect_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart; scripts\app_bot_parity_smoke.py,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-028,GET,/api/client/promo-slots,Client dynamic content slots,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_api_p0_extensions.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-029,POST,/api/client/nodes/latency-samples,Client latency and smart connect,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_smart_connect_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-030,GET,/api/client/warp/status,Client WARP lifecycle,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_network_rollout_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-031,POST,/api/client/warp/consent,Client WARP lifecycle,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_network_rollout_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-032,POST,/api/client/warp/revoke,Client WARP lifecycle,Retest passed,1,1,tests\test_network_rollout_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-033,POST,/api/client/warp/rotate,Client WARP lifecycle,Retest passed,1,1,tests\test_network_rollout_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-034,POST,/api/client/warp/events,Client WARP lifecycle,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; tests\test_network_rollout_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-035,POST,/api/client/telegram/link,Client Telegram linking,Retest passed,3,3,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; portal_bot\tests\test_app_first_api.py; webapp\e2e\settings-email-link.spec.ts,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart; scripts\app_bot_parity_smoke.py; webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-036,GET,/api/payments/providers,Payments and checkout,Retest passed,5,5,tests\test_api_payments_callbacks.py; tests\test_public_beta_post_deploy_probe.py; tests\test_ui_visual_smoke.py; webapp\e2e\admin-gate.spec.ts; webapp\e2e\cabinet-flow.spec.ts,scripts\brain_runtime_app_download_smoke.py; scripts\public_beta_post_deploy_probe.py; scripts\smoke_client_apps.py; scripts\ui_visual_smoke.py; webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-037,POST,/api/payments/orders/create,Payments and checkout,Retest passed,1,1,tests\test_api_payments_callbacks.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-038,POST,/api/payments/orders/create-public,Payments and checkout,Retest passed,1,1,tests\test_api_payments_callbacks.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-039,POST,/api/payments/freekassa/orders/create,Payments and checkout,Retest passed,3,1,tests\test_api_lifecycle_smoke.py; tests\test_api_payments_callbacks.py; tests\test_freekassa_staging_smoke.py,scripts\freekassa_staging_smoke.py,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-040,POST,/api/payments/freekassa/orders/create-public,Payments and checkout,Retest passed,3,1,tests\test_api_lifecycle_smoke.py; tests\test_api_payments_callbacks.py; tests\test_freekassa_staging_smoke.py,scripts\freekassa_staging_smoke.py,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-041,GET,/api/payments/freekassa/orders/{order_id},Payments and checkout,Retest passed,3,1,tests\test_api_lifecycle_smoke.py; tests\test_api_payments_callbacks.py; tests\test_freekassa_staging_smoke.py,scripts\freekassa_staging_smoke.py,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-042,POST,/api/payments/freekassa/orders/{order_id}/refund,Payments and checkout,Retest passed,3,1,tests\test_api_lifecycle_smoke.py; tests\test_api_payments_callbacks.py; tests\test_freekassa_staging_smoke.py,scripts\freekassa_staging_smoke.py,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-043,GET,/api/payments/freekassa/currencies,Payments and checkout,Retest passed,1,0,tests\test_api_payments_callbacks.py,,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-044,GET,/api/payments/freekassa/currencies/{currency}/status,Payments and checkout,Retest passed,1,0,tests\test_api_payments_callbacks.py,,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-045,GET,/api/admin/metrics/status,Admin metrics and funnel,Retest passed,3,1,tests\test_api_auth_and_tickets.py; tests\test_api_p0_extensions.py; webapp\e2e\admin-gate.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-046,GET,/api/admin/funnel/summary,Admin metrics and funnel,Retest passed,1,1,tests\test_backend_route_gap_coverage.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-047,GET,/api/admin/nodes/traffic,Admin node operations,Retest passed,2,1,tests\test_api_auth_and_tickets.py; webapp\e2e\admin-gate.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-048,GET,/api/admin/metrics/timeseries,Admin metrics and funnel,Retest passed,2,1,tests\test_api_auth_and_tickets.py; webapp\e2e\admin-gate.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-049,GET,/api/reviews,Public content and social proof,Retest passed,3,1,tests\test_api_p0_extensions.py; tests\test_public_copy_guardrails.py; tests\test_reviews_username_masking.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-050,GET,/api/public/social-proof,Public content and social proof,Retest passed,1,0,tests\test_api_p0_extensions.py,,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-051,POST,/api/events,Telemetry and funnel events,Retest passed,2,1,tests\test_api_auth_and_tickets.py; tests\test_api_p0_extensions.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-052,POST,/api/funnel/events,Telemetry and funnel events,Retest passed,1,0,tests\test_backend_route_gap_coverage.py,,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-053,POST,/api/connect/confirm,Telemetry and funnel events,Retest passed,1,1,tests\test_backend_route_gap_coverage.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-054,POST,/api/pay/attempts/start,Payments and checkout,Retest passed,1,1,tests\test_api_p0_extensions.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-055,GET,/api/offers/active,Offers and points,Retest passed,1,1,tests\test_api_p0_extensions.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-056,POST,/api/offers/{offer_id}/accept,Offers and points,Retest passed,1,1,tests\test_api_p0_extensions.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-057,GET,/api/points,Offers and points,Retest passed,1,1,tests\test_api_p0_extensions.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-058,GET,/api/network/probe,Network diagnostics,Retest passed,1,1,tests\test_api_p0_extensions.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-059,GET,/api/user/{tg_id},Cabinet dashboard/profile data,Retest passed,9,1,portal_bot\tests\test_app_first_api.py; portal_bot\tests\test_email_auth.py; tests\test_api_auth_and_tickets.py; tests\test_api_lifecycle_smoke.py; tests\test_api_p0_extensions.py; tests\test_network_rollout_api.py; webapp\e2e\admin-gate.spec.ts; webapp\e2e\cabinet-flow.spec.ts; webapp\e2e\settings-email-link.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-060,GET,/api/dashboard,Cabinet dashboard/profile data,Retest passed,8,1,portal_bot\tests\test_app_first_api.py; tests\test_api_auth_and_tickets.py; tests\test_api_lifecycle_smoke.py; tests\test_api_p0_extensions.py; tests\test_network_rollout_api.py; webapp\e2e\admin-gate.spec.ts; webapp\e2e\cabinet-flow.spec.ts; webapp\e2e\settings-email-link.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-061,GET,/api/client/apps,Client app download/update metadata,Retest passed,4,7,tests\test_api_p0_extensions.py; tests\test_public_beta_launch_decision.py; webapp\e2e\admin-gate.spec.ts; webapp\e2e\cabinet-flow.spec.ts,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart; scripts\brain_runtime_app_download_smoke.py; scripts\public_beta_external_access_preflight.py; scripts\release_gate_check.py; scripts\smoke_client_apps.py; webapp\src\app\(admin)\admin\release\page.tsx; webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-062,GET,/api/nodes/status,Network diagnostics,Retest passed,1,1,webapp\e2e\cabinet-flow.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-063,POST,/api/nodes/diagnostics/run,Network diagnostics,Retest passed,1,1,tests\test_api_auth_and_tickets.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-064,GET,/api/bonuses,Bonuses and rewards,Retest passed,6,3,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\pokrov_seed_app_test.dart; portal_bot\tests\test_app_first_api.py; tests\test_api_auth_and_tickets.py; tests\test_api_lifecycle_smoke.py; webapp\e2e\cabinet-flow.spec.ts,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart; scripts\app_bot_parity_smoke.py; webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-065,GET,/api/bonuses/summary,Bonuses and rewards,Retest passed,2,2,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; portal_bot\tests\test_app_first_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart; scripts\app_bot_parity_smoke.py,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-066,GET,/api/bonuses/referral/summary,Bonuses and rewards,Retest passed,2,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; portal_bot\tests\test_app_first_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-067,GET,/api/bonuses/history,Bonuses and rewards,Retest passed,2,2,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; portal_bot\tests\test_app_first_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart; scripts\app_bot_parity_smoke.py,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-068,GET,/api/bonuses/wheel/state,Bonuses and rewards,Retest passed,1,0,portal_bot\tests\test_app_first_api.py,,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-069,POST,/api/bonuses/wheel/spin,Bonuses and rewards,Retest passed,3,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\pokrov_seed_app_test.dart; portal_bot\tests\test_app_first_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-070,GET,/api/bonuses/calendar,Bonuses and rewards,Retest passed,3,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\pokrov_seed_app_test.dart; portal_bot\tests\test_app_first_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-071,POST,/api/bonuses/calendar/checkin,Bonuses and rewards,Retest passed,3,1,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\pokrov_seed_app_test.dart; portal_bot\tests\test_app_first_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-072,POST,/api/channel/subscriber/check,Bonuses and rewards,Retest passed,4,3,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; portal_bot\tests\test_app_first_api.py; webapp\e2e\cabinet-flow.spec.ts; webapp\e2e\settings-email-link.spec.ts,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart; scripts\app_bot_parity_smoke.py; webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-073,POST,/api/bonuses/channel/claim,Bonuses and rewards,Retest passed,5,3,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; portal_bot\tests\test_app_first_api.py; tests\test_api_auth_and_tickets.py; tests\test_api_lifecycle_smoke.py; webapp\e2e\cabinet-flow.spec.ts,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart; scripts\app_bot_parity_smoke.py; webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-074,POST,/api/promo/redeem,Redeem and activation keys,Retest passed,2,1,tests\test_api_auth_and_tickets.py; tests\test_api_lifecycle_smoke.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-075,POST,/api/bonuses/promo/redeem,Bonuses and rewards,Retest passed,1,0,portal_bot\tests\test_app_first_api.py,,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-076,POST,/api/gift/redeem,Redeem and activation keys,Retest passed,2,1,tests\test_api_auth_and_tickets.py; tests\test_api_lifecycle_smoke.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-077,GET,/api/access-keys/status/{key},Redeem and activation keys,Retest passed,2,1,portal_bot\tests\test_app_first_api.py; webapp\e2e\admin-gate.spec.ts,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-078,POST,/api/access-keys/redeem,Redeem and activation keys,Retest passed,1,1,tests\test_api_auth_and_tickets.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-079,POST,/api/redeem,Redeem and activation keys,Retest passed,2,2,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; portal_bot\tests\test_app_first_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart; scripts\app_bot_parity_smoke.py,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-080,POST,/api/client/cabinet-token,Cabinet handoff,Retest passed,2,2,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; portal_bot\tests\test_app_first_api.py,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart; scripts\app_bot_parity_smoke.py,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-081,POST,/api/auth/cabinet-handoff/exchange,Cabinet handoff,Retest passed,2,2,portal_bot\tests\test_app_first_api.py; webapp\e2e\cabinet-flow.spec.ts,scripts\app_bot_parity_smoke.py; webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-082,POST,/api/reviews,Public content and social proof,Retest passed,3,1,tests\test_api_p0_extensions.py; tests\test_public_copy_guardrails.py; tests\test_reviews_username_masking.py,webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-083,POST,/api/feedback,Public content and social proof,Retest passed,1,0,tests\test_api_p0_extensions.py,,Keep covered in regression suite; add narrower route test when behavior changes.
BACKEND-API-084,GET,/api/tickets,Support ticket lifecycle,Retest passed,7,4,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\app_first_runtime_bootstrap_test.dart; C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\test\assistant_contract_test.dart; portal_bot\tests\test_app_first_api.py; tests\test_api_auth_and_tickets.py; tests\test_api_lifecycle_smoke.py; tests\test_client_ui_api_additions.py; webapp\e2e\cabinet-flow.spec.ts,C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\app_first_runtime_bootstrap.dart; C:\Users\kiwun\Documents\ai\POKROV-app\packages\app_shell\lib\src\assistant\pokrov_ai_assistant.dart; scripts\app_bot_parity_smoke.py; webapp\src\lib\api.ts,Keep covered in regression suite; add narrower route test when behavior changes.
