canonical_id,subsystem,source_tracker,source_story_id,surface,route_or_trigger,feature,user_story,expected_behavior,code_evidence,canon_guardrails,test_method,story_status,latest_result,defects_or_issues,fix_status,retest_status,owner_or_access_note,next_action,updated_at
TELEGRAM_BOTS-TG-MAIN-011,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-011,Main bot,successful_payment,Payment fulfillment,"As a paying user, I get access after a successful payment without duplicate fulfillment.","Successful payment handles normal tariffs, gift cards, and family slots; it records/uses payment fingerprints for idempotency, updates subscription access, syncs panel state, and shows app-first connect/cabinet next steps.","portal_bot/bot_payment_handlers.py:249;portal_bot/bot_payment_handlers.py:268",Access is day-based; app-first setup should be the recommended path.,"Unit: idempotent duplicate payload, tariff fulfillment, giftcard fulfillment, family slot fulfillment. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py; tests/test_api_payments_callbacks.py; tests/test_lavatop_payment_providers.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-012,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-012,Main bot,status,Status,"As a user, I can see my access state and relevant account limits.","Status shows active/inactive state, expiry, plan label, device limit including family slots, free usage where applicable, channel bonus status, and panel online/last-online if known.",portal_bot/bot_user_handlers.py:541,Free users should only be tied to the dedicated free pool; no traffic-based paid claims.,Unit: paid/free/inactive/manual states render expected fields. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.,Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-013,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-013,Main bot,show_key; copy_key; show_qr; show_happ_qr; qr_close; share_access,Manual connection fallback,"As an active user who needs fallback setup, I can request my personal subscription link safely.","The explicit manual-link action checks ToS and active access, then shows the personal connect/subscription link with safety guidance, native copy controls, separately expiring Hiddify/Happ QR messages with an explicit close action, free-tier notes when applicable, and a share_access warning that points users to support/family-slot flow instead of forwarding a personal link.","portal_bot/bot_user_handlers.py:621;portal_bot/bot_user_handlers.py:765;portal_bot/bot_user_handlers.py:825;portal_bot/bot_user_handlers.py:839","Raw/manual links are recovery/fallback surfaces, not first-layer onboarding.","Unit/static: inactive denied, active receives one link, QR generated and close cancels its cleanup timer without replacing the manual-link message, safety text present. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-07-22
TELEGRAM_BOTS-TG-MAIN-014,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-014,Main bot,panic_menu; panic_execute,Security recovery,"As a user, I can rotate my personal link if I accidentally shared it.","The panic flow confirms consequences, regenerates sub_token, best-effort syncs the panel, alerts admin, and tells the user to use the newly issued link.","portal_bot/bot_user_handlers.py:854;portal_bot/bot_user_handlers.py:893",Personal links are bearer secrets and must be treated as sensitive.,"Unit: confirm copy, token changes, panel sync called, old token no longer used. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-015,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-015,Main bot,instruction; instr_android; instr_win; instr_ios; instr_mac,Device setup,"As a user, I can choose my device and get the appropriate setup path.","The instruction menu offers Android, Windows, iOS, and macOS compatibility instructions; Android/Windows point to POKROV app flow, while iOS/macOS stay in compatibility/manual client language.","portal_bot/bot_user_handlers.py:986;portal_bot/bot_user_handlers.py:1089",Android and Windows beta are GO; iOS/macOS must not be implied as full current release clients.,Static: instruction text has app-first Android/Windows and compatibility wording for Apple platforms. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.,Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-016,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-016,Main bot,mode_simple; simple_android; simple_win; simple_ios; simple_step3,Simple onboarding,"As a confused user, I can use a simplified setup mode with fewer choices.","Simple mode asks for device, gives a download/install step, then routes to trial, paid tariff, or channel bonus based on eligibility.","portal_bot/bot_admin_handlers.py:2054;portal_bot/bot_admin_handlers.py:2060;portal_bot/bot_admin_handlers.py:2071",First-run path should remain app-first and not overpromise non-beta platforms.,Static/unit: each device branch renders expected link and next actions. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.,Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-017,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-017,Main bot,mode_pro; settings; confused_help,Advanced menu,"As a user who knows what they need, I can open all bot actions.","Pro/all-actions mode shows the full main keyboard, but first offers channel bonus when the user is eligible.","portal_bot/bot_admin_handlers.py:2038;portal_bot/bot_user_handlers.py:1016;portal_bot/bot_user_handlers.py:991","Advanced actions can expose fallback controls, but should not replace app-first onboarding.","Unit/static: channel bonus pre-offer, full menu controls present. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-018,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-018,Main bot,bonus_offer_*; bonus_claim_*; bonus_skip_*; channel_bonus_offer,Telegram channel bonus,"As an eligible user, I can claim the Telegram channel reward after joining the channel.","The bot offers the channel reward where eligible, verifies channel membership before claim, grants the configured bonus, and lets users skip back to the intended next action.","portal_bot/bot_admin_handlers.py:2148;portal_bot/bot_admin_handlers.py:2157;portal_bot/bot_admin_handlers.py:2209",Telegram reward is +10 days; public channel is @pokrov_vpn.,"Unit with membership stub: not-subscribed refusal, subscribed grant, skip route. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py; portal_bot/tests/test_channel_bonus_service.py; tests/test_api_auth_and_tickets.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-019,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-019,Main bot,menu_bonuses,Bonuses,"As a paid active user, I can access referral, wheel, achievements, and streak bonuses.",The bonuses menu requires active paid access for paid-only features and directs non-paid users toward channel bonus or connection actions instead.,portal_bot/bot_user_handlers.py:1097,Bonus mechanics must not bypass plan eligibility.,Unit: paid active sees full bonus controls; non-paid sees allowed alternatives. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.,Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-020,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-020,Main bot,referral,Referral program,"As a paid active user, I can get a referral link and see referral stats.","The bot creates or reuses a referral code, shows a Telegram deep link, displays referral counts, and only exposes this to active paid users.",portal_bot/bot_user_handlers.py:1257,"Referral reward is granted after qualifying friend purchase/gift, not at click time.","Unit: inactive denied, active receives stable code/link, stats render. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-021,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-021,Main bot,wheel; wheel_spin,Wheel,"As a paid active user, I can spin a bonus wheel subject to cooldown.","The bot shows prize chances from configured weights, blocks users on cooldown, spins only when allowed, awards days, records events and jackpot achievements, and syncs access best-effort.","portal_bot/bot_user_handlers.py:1295;portal_bot/bot_user_handlers.py:1370","Rewards are days, not traffic; traffic wording should not appear.","Unit: cooldown, weighted prize render, award, event, jackpot achievement. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.",Retest passed,"PASS: Targeted regressions passed; focused suite passed: 63 passed, 2 subtests passed.",Initial result: Live Telegram Desktop button smoke exposed a navigation or pending-input issue; see linked issue rows.,Fixed in code and covered by regression tests.,"Targeted regressions passed; focused suite passed: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-022,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-022,Main bot,achievements; streak,Achievements and streak,"As a paid active user, I can view achievements and renewal streak progress.","The bot lists unlocked/all achievements, total bonus days, streak months, progress to milestones, and expiry reset warnings.","portal_bot/bot_user_handlers.py:1513;portal_bot/bot_user_handlers.py:1556",Streak bonuses are access days only.,Unit/static: achievements and streak states render for no/unlocked/progress cases. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.,Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-023,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-023,Main bot,buy_family_slot; successful_payment family_slot payload,Family slot,"As a Stars-enabled user, I can buy an extra device slot within limits.",The bot blocks the feature when Stars checkout is disabled or the slot limit is reached; otherwise it sends a Stars invoice for a family slot.,"portal_bot/bot_user_handlers.py:1604;portal_bot/bot_payment_handlers.py:249",Device limits must match plan and family-slot policy.,"Unit: disabled, limit reached, invoice success, fulfillment increments slot. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-024,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-024,Main bot,menu_more; gift_cards; buy_giftcard_*; gift_redeem_prompt; /redeem compatibility,Gift cards,"As a user, I can buy or redeem gift-card access when the channel is enabled.","The more menu exposes secondary gift, promo, review, and feedback actions. Gift purchase is hidden/closed when Stars checkout is disabled; otherwise buying sends a gift-card invoice. Redemption accepts current POKROV codes and retained SWAZ codes after ToS.","portal_bot/bot_user_handlers.py:1139;portal_bot/bot_user_handlers.py:1741;portal_bot/bot_user_handlers.py:1777;portal_bot/bot_user_handlers.py:1193;portal_bot/bot_user_handlers.py:1804",Legacy SWAZ code compatibility is allowed where removal is not feasible.,"Unit: disabled purchase fallback, invoice payload, redeem success/failure/ToS gate. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.",Retest passed,"PASS: Targeted regressions passed; focused suite passed: 63 passed, 2 subtests passed.",Initial result: Live Telegram Desktop button smoke exposed a navigation or pending-input issue; see linked issue rows.,Fixed in code and covered by regression tests.,"Targeted regressions passed; focused suite passed: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-025,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-025,Main bot,promo_activate_prompt; promo_help; /promo CODE compatibility,Promo codes,"As a user, I can activate days or discount promo codes.","The bot accepts the button prompt flow as the primary path and /promo CODE as a compatibility fallback, validates ToS, existence, expiry, usage, campaign restriction, value type, and then either extends access days or stores a pending RUB discount.","portal_bot/bot_user_handlers.py:1209;portal_bot/bot_user_handlers.py:1177;portal_bot/bot_operator_handlers.py:398;portal_bot/bot_operator_handlers.py:554",Promo effects must be explicit and bounded.,"Unit: not found, expired, exhausted, duplicate, campaign mismatch, days, discount. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.",Retest passed,"PASS: Targeted regressions passed; focused suite passed: 63 passed, 2 subtests passed.",Initial result: Live Telegram Desktop button smoke exposed a navigation or pending-input issue; see linked issue rows.,Fixed in code and covered by regression tests.,"Targeted regressions passed; focused suite passed: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-026,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-026,Main bot,/share,Legacy share command,"As a user invoking an old traffic-share command, I learn that traffic transfers are disabled.","The bot answers /share with clear text that traffic transfer is disabled because access is time-based, not traffic-limited.",portal_bot/bot_user_handlers.py:1844,POKROV access is day/subscription based; no paid traffic limits.,Unit/static: /share response contains disabled/time-based guidance. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py.,Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-027,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-027,Main bot,/review; review_start; rate_*; review_skip_text; text after rating,Reviews,"As an active user, I can leave one review for publication.","The bot requires active access, prevents duplicate reviews, collects rating, optionally collects short text, and saves a Review row.","portal_bot/bot_user_handlers.py:2095;portal_bot/bot_user_handlers.py:1224;portal_bot/bot_user_handlers.py:2128;portal_bot/bot_user_handlers.py:2151;portal_bot/bot_user_handlers.py:2172",Published review username masking should preserve privacy.,"Unit: inactive denied, duplicate denied, rating-only, rating+text, masking helper. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py; tests/test_feedbackbot_moderation.py; tests/test_reviews_username_masking.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-028,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-028,Main bot,network_status; network_status_scan,Network status,"As a user, I can check whether POKROV nodes look available.","The bot lists enabled nodes, ping/load status where available, average load, and offers refresh/back controls without implying RU-origin readiness.","portal_bot/bot_user_handlers.py:2738;portal_bot/bot_user_handlers.py:2781",RU-origin readiness remains unclaimed unless current evidence exists.,"Unit/static: healthy/unhealthy/no-node render, no RU-ready claim. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py; tests/test_backend_route_gap_coverage.py; tests/test_api_auth_and_tickets.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
TELEGRAM_BOTS-TG-MAIN-029,Telegram bots,docs\developer\pokrov-telegram-bot-user-stories.xlsx,TG-MAIN-029,Main bot,support; /support; /cabinet; faq_*; support_diagnose,Support entry,"As a user who needs help, I can reach support, FAQs, diagnostics, and cabinet from the main bot.","Support menu links to the dedicated support bot, shows common FAQ answers, offers diagnostics based on user state, and provides cabinet access.","portal_bot/bot_user_handlers.py:2815;portal_bot/bot_user_handlers.py:2845;portal_bot/bot_user_handlers.py:2827;portal_bot/bot_user_handlers.py:2891;portal_bot/bot_user_handlers.py:2910","Support bot is a ticket system, not fake live chat.","Unit/static: URLs use @pokrov_supportbot, diagnostics reflect user state, FAQ back/support controls. Direct refs: tests/test_telegram_story_contracts.py; tests/test_bot_paywall.py; tests/test_app_bot_parity_smoke.py; tests/test_helpbot_lifecycle.py; tests/test_support_macros_contract.py.",Retest passed,Local code inventory plus focused bot/support/review/ticket tests and live button smoke passed after fixes; see Test Log.,,No code fix required in this pass.,"Post-fix focused suite: 63 passed, 2 subtests passed.",,Keep covered in regression suite,2026-06-27
