script_id,path,category,workflow,docstring,has_main,has_argparse,test_ref_count,test_refs,story_status,latest_result,owner_access_note,next_action,updated_at
OPS-SCRIPT-011,scripts/cleanup_inventory.py,"Data, migration, and cleanup",run the cleanup inventory operator workflow,,True,True,1,tests/test_cleanup_inventory.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-012,scripts/collect_node_metrics.py,Node and control-plane operations,run the collect node metrics operator workflow,,True,True,2,tests/test_collect_node_metrics_observability.py; tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-013,scripts/collect_xray_observer.py,Node and control-plane operations,run the collect xray observer operator workflow,,True,True,2,tests/test_collect_xray_observer.py; tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-014,scripts/configure_ssh_additional_port.py,Operator script,run the configure ssh additional port operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-015,scripts/control_plane_drift_report.py,Node and control-plane operations,run the control plane drift report operator workflow,,True,True,1,tests/test_control_plane_drift_report.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-016,scripts/create_reality_inbounds.py,Node and control-plane operations,run the create reality inbounds operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-017,scripts/export_manual_user_links.py,Manual user and subscription operations,run the export manual user links operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",Live execution changes or exports user/subscription state and requires explicit owner/operator approval.,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-018,scripts/export_release_gate_snapshot.py,Release gates and handoff,run the export release gate snapshot operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-019,scripts/email_delivery_probe.py,"Smoke, audit, and diagnostics",run the email delivery probe operator workflow,,True,True,2,tests/test_live_probe_scripts.py; tests/test_public_beta_post_deploy_probe.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-020,scripts/lavatop_invoice_probe.py,"Smoke, audit, and diagnostics",run the lavatop invoice probe operator workflow,,True,True,4,tests/test_brain_payment_email_readiness.py; tests/test_live_probe_scripts.py; tests/test_public_beta_external_access_preflight.py; tests/test_public_beta_post_deploy_probe.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-021,scripts/lavatop_webhook_replay_smoke.py,"Smoke, audit, and diagnostics",run the lavatop webhook replay smoke operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-022,scripts/grant_all_users_days.py,Manual user and subscription operations,run the grant all users days operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",Live execution changes or exports user/subscription state and requires explicit owner/operator approval.,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-023,scripts/inspect_local_xui_db.py,Node and control-plane operations,run the inspect local xui db operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-024,scripts/inspect_nodes_inbounds.py,Node and control-plane operations,run the inspect nodes inbounds operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-025,scripts/inspect_public_subscription_hosts.py,Operator script,run the inspect public subscription hosts operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-026,scripts/inspect_public_subscription_names.py,Operator script,run the inspect public subscription names operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-027,scripts/inspect_reality_inbound_remote.py,Operator script,run the inspect reality inbound remote operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-028,scripts/inspect_xui_schema.py,Node and control-plane operations,run the inspect xui schema operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-029,scripts/list_nodes.py,Node and control-plane operations,run the list nodes operator workflow,,True,True,1,tests/test_ops_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-030,scripts/migrate_to_nodes.py,Node and control-plane operations,run the migrate to nodes operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-031,scripts/node_dataplane_probe.py,Node and control-plane operations,run the node dataplane probe operator workflow,,True,True,1,tests/test_node_dataplane_probe.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-032,scripts/node_observability_gate.py,Node and control-plane operations,run the node observability gate operator workflow,,True,True,1,tests/test_node_observability_gate.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-033,scripts/pokrov_ai_docs_assistant.py,AI/operator support tools,Build and query a read-only OpenAI File Search index for POKROV canon. The script is intentionally local/operator-facing. It never reads sec,Build and query a read-only OpenAI File Search index for POKROV canon. The script is intentionally local/operator-facing. It never reads secret locations and only sends an explicit allowlist of canonical docs to OpenAI.,True,True,1,tests/test_pokrov_ai_docs_assistant.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-034,scripts/pokrov_operator_copilot.py,AI/operator support tools,"Read-only operator copilot scaffold using OpenAI function calling. This script exposes a tiny, audited tool surface for local operator quest","Read-only operator copilot scaffold using OpenAI function calling. This script exposes a tiny, audited tool surface for local operator questions. The model may request tools, but only this process executes them, and every tool here is read-only or pure formatting.",True,True,1,tests/test_pokrov_operator_copilot.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-035,scripts/pokrov_support_ai_kb_refresh.py,AI/operator support tools,run the pokrov support ai kb refresh operator workflow,,True,True,1,tests/test_pokrov_support_ai_kb_refresh.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-036,scripts/predeploy_node_readiness.py,Node and control-plane operations,run the predeploy node readiness operator workflow,,True,True,1,tests/test_predeploy_node_readiness.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-037,scripts/release_gate_check.py,Release gates and handoff,run the release gate check operator workflow,,True,True,5,tests/test_android_release_bundle_guard.py; tests/test_check_script_manifest.py; tests/test_pokrov_migration_defaults.py; tests/test_release_gate_check.py; tests/test_release_orchestrator.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-038,scripts/render_ru_probe_report.py,"Smoke, audit, and diagnostics",run the render ru probe report operator workflow,,True,True,1,tests/test_render_ru_probe_report.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-039,scripts/release_orchestrator.py,Release gates and handoff,run the release orchestrator operator workflow,,True,True,1,tests/test_release_orchestrator.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-040,scripts/run_client_release_gate.py,Release gates and handoff,run the run client release gate operator workflow,,True,True,4,tests/test_android_release_bundle_guard.py; tests/test_package_windows_script.py; tests/test_pokrov_migration_defaults.py; tests/test_run_client_release_gate.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-041,scripts/admin_webapp_smoke.py,"Smoke, audit, and diagnostics",run the admin webapp smoke operator workflow,,True,True,1,tests/test_admin_webapp_smoke.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-042,scripts/agent_context_packet_audit.py,"Smoke, audit, and diagnostics","Audit prompt/context packets for prompt-cache friendly structure. This is a lightweight harness for repo-owned agent prompts, external-model","Audit prompt/context packets for prompt-cache friendly structure. This is a lightweight harness for repo-owned agent prompts, external-model packets, and work-order context bundles. It does not call any provider.",True,True,1,tests/test_agent_context_packet_audit.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-043,scripts/android_localhost_audit.py,"Smoke, audit, and diagnostics",run the android localhost audit operator workflow,,True,True,3,tests/test_android_localhost_audit.py; tests/test_release_gate_check.py; tests/test_validate_android_physical_audit_evidence.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).",Final release proof requires owner physical-device execution; local tests cover script behavior only.,Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-044,scripts/remote_bootstrap_nodes.py,Remote diagnostics and maintenance,run the remote bootstrap nodes operator workflow,,True,True,1,tests/test_remote_bootstrap_nodes.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-045,scripts/remote_brain_cat_default_xui.py,Remote diagnostics and maintenance,run the remote brain cat default xui operator workflow,,True,False,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-046,scripts/remote_brain_copy_env_var.py,Remote diagnostics and maintenance,run the remote brain copy env var operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-047,scripts/remote_brain_fix_xui_sub_server.py,Remote diagnostics and maintenance,run the remote brain fix xui sub server operator workflow,,True,False,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-048,scripts/remote_brain_inspect_xui_files.py,Remote diagnostics and maintenance,run the remote brain inspect xui files operator workflow,,True,False,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-049,scripts/remote_brain_network_probe.py,Remote diagnostics and maintenance,run the remote brain network probe operator workflow,,True,True,1,tests/test_remote_brain_network_probe.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-050,scripts/remote_brain_nodes_sanity.py,Remote diagnostics and maintenance,run the remote brain nodes sanity operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-051,scripts/remote_brain_patch_caddy_webapp_api_proxy.py,Remote diagnostics and maintenance,run the remote brain patch caddy webapp api proxy operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-052,scripts/remote_brain_promo_grant_premium_days.py,Remote diagnostics and maintenance,run the remote brain promo grant premium days operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-053,scripts/remote_brain_set_env_kv.py,Remote diagnostics and maintenance,run the remote brain set env kv operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-054,scripts/remote_brain_set_node_hosts_dns.py,Remote diagnostics and maintenance,run the remote brain set node hosts dns operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-055,scripts/remote_brain_sync_users_to_nodes.py,Remote diagnostics and maintenance,run the remote brain sync users to nodes operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-056,scripts/remote_brain_update_env_urls.py,Remote diagnostics and maintenance,run the remote brain update env urls operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-057,scripts/remote_audit_paid_node_coverage.py,Remote diagnostics and maintenance,run the remote audit paid node coverage operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-058,scripts/remote_apply_node_qdisc.py,Remote deploy and node operations,run the remote apply node qdisc operator workflow,,True,True,1,tests/test_qdisc_scripts.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-059,scripts/remote_apply_transport_front.py,Remote deploy and node operations,run the remote apply transport front operator workflow,,True,True,1,tests/test_remote_apply_transport_front.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-060,scripts/remote_brain_apply_release_handoff.py,Remote deploy and node operations,run the remote brain apply release handoff operator workflow,,True,True,3,tests/test_public_beta_launch_decision.py; tests/test_release_orchestrator.py; tests/test_remote_brain_apply_release_handoff.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-061,scripts/remote_check_brain_panel.py,Remote diagnostics and maintenance,run the remote check brain panel operator workflow,,True,False,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-062,scripts/remote_configure_brain_for_vless_443.py,Remote deploy and node operations,run the remote configure brain for vless 443 operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-063,scripts/remote_deploy_brain_portal_code.py,Remote deploy and node operations,run the remote deploy brain portal code operator workflow,,True,True,1,tests/test_remote_deploy_brain_portal_code.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-064,scripts/remote_deploy_brain_static_sites.py,Remote deploy and node operations,run the remote deploy brain static sites operator workflow,,True,True,2,tests/test_remote_deploy_brain_static_sites.py; tests/test_static_deploy_cache_bust.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-065,scripts/remote_find_panel_service.py,Remote diagnostics and maintenance,run the remote find panel service operator workflow,,True,False,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-066,scripts/remote_grant_all_users_days.py,Remote diagnostics and maintenance,run the remote grant all users days operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-067,scripts/remote_grep_brain_xui_sh.py,Remote diagnostics and maintenance,run the remote grep brain xui sh operator workflow,,True,False,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-068,scripts/remote_inspect_brain_subscription_hosts.py,Remote diagnostics and maintenance,run the remote inspect brain subscription hosts operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-069,scripts/remote_install_feedbackbot_service.py,Remote deploy and node operations,run the remote install feedbackbot service operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-070,scripts/remote_install_free_per_ip_limiter.py,Remote deploy and node operations,run the remote install free per ip limiter operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-071,scripts/remote_install_mtproto_proxy.py,Remote deploy and node operations,run the remote install mtproto proxy operator workflow,,True,True,1,tests/test_remote_install_mtproto_proxy.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-072,scripts/remote_install_mini_canary_stack.py,Remote deploy and node operations,run the remote install mini canary stack operator workflow,,True,True,1,tests/test_remote_install_mini_canary_stack.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-073,scripts/remote_install_node_metrics_timer.py,Remote deploy and node operations,run the remote install node metrics timer operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-074,scripts/remote_install_node_observer.py,Remote deploy and node operations,run the remote install node observer operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
OPS-SCRIPT-075,scripts/remote_install_xui_service.py,Remote deploy and node operations,run the remote install xui service operator workflow,,True,True,1,tests/test_remote_script_gap_batch.py,Retest passed,"PASS: OPS-SCRIPT-FOCUSED-001 (314 passed, 6 warnings).","Live execution requires SSH/host access; local automated tests cover only safe composition, parsing, or dry-run behavior when present.",Keep mapped test refs current when script behavior changes.,2026-06-27
